Category,ASIN,SKU,Product Name,Shipping Template,BB Jan 25,BB Feb 25,BB Mar 25,BB Apr 25,BB May 25,BB Jun 25,BB Jul 25,BB Aug 25,BB Sep 25,BB Oct 25,BB Nov 25,BB Dec 25,BB Jan-Feb 26,Pre-Change Avg BB,Post-Change Avg BB,BB Change,Sessions (Total),Revenue (Total),Orders (Total),Sessions (Jan-Feb 26),Revenue (Jan-Feb 26),Active Months,Wasted Sessions (Latest),Notes,Buy Box,BB Profit if matched,Updated
🟢 PROTECT - Strong Performer,B0DZ2Z6586,CAL03 - 010 Prime,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 2.5kg,One Day,,,85.5%,91.1%,86.8%,0.0%,21.9%,65.5%,86.5%,90.8%,91.6%,78.7%,74.1%,,69.8%,,"4,926",34507,723,650,2806,11,168,"BB 74%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B076B1NF1Q,Chef William - 001 Prime,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,One Day,86.1%,92.7%,91.7%,93.1%,94.4%,92.3%,,94.0%,94.9%,91.8%,88.7%,96.2%,95.2%,89.4%,93.0%,3.6%,"18,562",25572,"2,142","1,232",1607,12,58,"BB 95%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DVH3N5GH,CAL02 - 011 Prime,"Callebaut - DARK - 811 Callets - 2.5kg (Sold by Parkers Foodservice) (1 Pack, 2500.0, gram)",One Day,,96.7%,92.5%,91.9%,74.9%,8.6%,1.5%,95.6%,96.5%,94.6%,95.3%,94.6%,93.0%,96.7%,74.6%,-22.2%,"4,739",25312,564,852,3522,12,59,"BB 93%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DQ1BG9JQ,Alexander Bundle - 001 Prime,"Luxury Alexander Brass Mill Salt and Pepper Grinders, 20.32 cm, Set of 2",One Day,95.0%,57.7%,77.1%,78.1%,84.6%,87.5%,86.7%,87.5%,91.6%,83.7%,88.2%,93.6%,94.3%,76.4%,85.9%,9.5%,"16,581",21836,178,"1,092",2845,13,62,"BB 94%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B079H1QM33,CAL99,"Saver Bundle Callebaut, Milk & 54% Dark Chocolate Chips (2 x 2.5kg Bundle)",One Day,0.0%,29.9%,72.0%,89.8%,65.1%,77.8%,57.1%,94.4%,81.9%,89.3%,90.8%,66.1%,75.6%,15.0%,78.4%,63.5%,986,17938,199,82,1247,11,20,"BB 76%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B078VB2BF7,CRI10,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",One Day,91.0%,92.5%,97.3%,95.7%,92.8%,90.8%,93.5%,89.3%,61.2%,92.0%,81.5%,83.3%,88.3%,91.7%,87.7%,-4.0%,"1,764",16736,774,161,1370,13,18,"BB 88%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DVS6YBJW,MONINS27 - 003 Prime,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,One Day,,,55.5%,61.0%,32.5%,44.3%,51.9%,70.8%,35.6%,43.3%,53.2%,94.4%,93.9%,,54.2%,,"6,749",13794,866,397,1641,11,24,"BB 94%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0C5418F7F,PIC05A - 001 Prime,Seasoners Traditional Pickled Onions 2.25kg,One Day,96.9%,97.9%,97.5%,99.1%,98.5%,97.9%,98.6%,98.1%,98.7%,95.1%,98.9%,98.6%,98.9%,97.4%,98.1%,0.7%,"5,531",12264,879,305,613,13,3,"BB 99%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DJ95JVD3,Bundle - 203 Prime,"Crusha Milkshake Bundle - Raspberry, Banana and Strawberry (3 x 1ltr)",One Day,95.2%,90.6%,95.7%,97.0%,98.0%,95.7%,96.5%,95.1%,90.8%,91.4%,95.4%,92.6%,91.2%,92.9%,94.8%,1.9%,"3,412",11401,583,176,660,13,15,"BB 91%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DPJ458LV,FAT03C - 001 Prime,"Centaur / Hazlemere Premium Duck Fat – 1kg | Ideal for Roasting, Frying & Gourmet Cooking",One Day,98.8%,95.4%,96.1%,97.7%,97.4%,98.9%,96.9%,97.3%,97.7%,97.7%,95.9%,99.4%,98.2%,97.1%,97.5%,0.4%,"2,193",11343,680,185,772,13,3,"BB 98%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DFD3HJ7Z,FAT00C - 001 Prime,"Hazlemere Pure Goose Fat – 1kg, Premium Cooking, Roasting & Baking Fat",One Day,94.8%,92.9%,97.0%,96.9%,98.9%,96.6%,92.5%,94.0%,96.7%,93.2%,96.3%,98.8%,96.7%,93.8%,96.1%,2.3%,"2,085",10034,483,238,1430,13,7,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DVHWT7NG,CAL04 - 020 Prime,Callebaut W2 Finest Belgian White Chocolate Callets 28.0% Cocoa 2.5kg,One Day,0.0%,95.5%,93.9%,97.2%,98.7%,98.9%,90.2%,94.2%,92.4%,92.4%,90.8%,95.8%,93.2%,47.7%,94.5%,46.7%,"1,367",9928,225,209,1386,12,14,"BB 93%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0F7MNF5WY,OSPRIO019 - 001 Prime,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,One Day,,,,,100.0%,98.6%,95.0%,99.2%,98.4%,94.9%,97.1%,95.0%,96.6%,,97.3%,,"2,531",9203,830,447,1387,9,15,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0BDS1J64S,ORI60 - 001,"Parkers Katsuobushi Dried Bonito Flakes, 500g, Cream",One Day,80.0%,100.0%,85.7%,98.6%,92.6%,97.7%,96.5%,100.0%,94.9%,88.2%,95.0%,95.7%,90.2%,90.0%,94.5%,4.5%,533,8724,197,35,320,13,3,"BB 90%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0FHKWHHR6,CAL101 x2 One day,Callebaut Milk & White Chocolate Callets – 2 × 2.5 kg Bulk Baking Bags,One Day,,,,,,,,96.6%,88.9%,91.8%,90.6%,86.0%,85.4%,,90.8%,,691,8589,105,149,1130,6,21,"BB 85%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0BQZ3GQTF,MUSTAR03 - 001 One Day,Centaur Dijon Mustard 1kg,One Day,94.9%,96.2%,97.9%,95.5%,90.7%,90.6%,98.1%,93.9%,98.2%,96.4%,97.0%,96.9%,98.0%,95.6%,95.5%,-0.1%,"1,221",8324,545,133,1025,13,2,"BB 98%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0D92Q4179,UHT31B - 003 Prime,"Jersey Dairy Luxury Soft Ice Cream & Thickshake Mix – 1 L Cartons (Pack of 6), Creamy Premium Ice Cream Base",One Day,100.0%,97.9%,96.6%,92.4%,99.2%,97.7%,100.0%,92.9%,98.3%,90.9%,95.7%,97.1%,96.5%,99.0%,96.1%,-2.9%,"1,094",7981,237,215,1381,12,7,"BB 96%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0B99329X1,UHT03B - 002 Prime,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,One Day,94.2%,93.9%,96.4%,96.2%,97.7%,97.4%,96.4%,95.7%,91.5%,94.2%,94.1%,99.1%,97.6%,94.1%,95.9%,1.8%,"1,458",7962,140,145,1091,13,3,"BB 98%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0CV7Z6WJX,ALP09A - 002 Prime,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),One Day,99.3%,91.8%,96.8%,97.2%,93.4%,92.2%,50.0%,45.3%,0.0%,85.1%,95.4%,89.8%,87.1%,95.5%,74.5%,-21.0%,"1,477",7641,378,159,894,13,20,"BB 87%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DVHZYW49,CAL01 - 011 Prime,Callebaut 70-30-38 Finest Belgian Dark Chocolate Couverture Callets 70.5% Cocoa 2 x 2.5kg,One Day,100.0%,92.9%,73.7%,85.0%,92.3%,92.3%,91.7%,95.4%,89.6%,94.6%,94.2%,97.9%,95.7%,96.4%,90.7%,-5.8%,931,6546,75,164,802,12,7,"BB 96%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0CPKCVG66,TAR10B - 010 Prime,Profiterole Shells 75 x 4cm (1),One Day,95.7%,93.0%,97.5%,98.4%,98.3%,95.1%,100.0%,97.4%,98.2%,90.5%,95.8%,97.6%,98.6%,94.3%,96.9%,2.5%,"1,514",6339,244,177,1014,13,2,"BB 99%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B077BT67GY,JUS04,Essential Cuisine Premier Red Wine Jus - 1x1.2kg,One Day,23.3%,50.5%,22.4%,29.7%,16.3%,45.0%,75.0%,88.6%,94.3%,56.6%,82.8%,96.4%,95.4%,36.9%,60.7%,23.8%,"3,077",6216,143,358,1131,13,16,"BB 95%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B09T3DYBGQ,GRA04 - 003 Prime,"Bisto The Original Gravy Powder 3kg – Classic British Gravy, Catering Size, Easy to Prepare",One Day,80.7%,67.7%,83.3%,62.1%,72.7%,38.2%,64.4%,69.4%,88.6%,92.4%,90.7%,93.3%,94.8%,74.2%,75.5%,1.3%,"1,019",6180,181,102,379,12,5,"BB 95%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0D7J2JD91,CAMBR008 - 002 Prime,"Cambrook (1kg, Hickory Smoked Almonds)",One Day,100.0%,96.6%,93.9%,95.7%,98.2%,100.0%,100.0%,100.0%,98.8%,93.8%,100.0%,93.7%,95.1%,98.3%,97.4%,-0.9%,741,5497,249,102,763,13,5,"BB 95%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B07FN52R4T,CRI35 - 002  One Day,"Brown Bag Crisps - Smoked Bacon 40g Bags, Pack of 20",One Day,8.0%,15.4%,9.9%,11.9%,12.8%,83.3%,82.3%,0.0%,4.4%,26.2%,92.0%,88.5%,93.7%,11.7%,41.1%,29.4%,782,5446,270,168,1556,12,10,"BB 94%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B01LY54FZD,SPI12AAAAAAAA,Belazu Rose Harissa 170 g (Pack of 2),One Day,92.1%,91.1%,89.8%,95.1%,80.9%,83.1%,83.3%,88.4%,93.0%,87.9%,94.4%,84.6%,87.1%,91.6%,88.1%,-3.5%,830,5405,446,28,224,13,3,"BB 87%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B07MLR6YVM,CHO91 - 001 Prime,Callebaut - Callebaut Milk Chocolate Baking Chunks 2.5kg,One Day,62.1%,65.4%,70.7%,39.2%,61.9%,87.6%,84.8%,84.4%,75.7%,78.6%,78.4%,78.7%,73.8%,63.8%,74.0%,10.2%,"2,323",4957,103,253,451,13,66,"BB 74%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DPLFN2WF,NUT15E - 005 Prime,Merchant Gourmet - Simply Cooked Chestnuts - 500gm - (Pack of 3),One Day,100.0%,100.0%,80.0%,95.2%,100.0%,100.0%,100.0%,98.8%,94.8%,94.5%,84.4%,97.3%,97.3%,100.0%,94.5%,-5.5%,"1,344",4754,252,284,718,12,7,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DVH2MQ4N,CAL02 - 012 Prime,"Callebaut - DARK - 811 Callets - 2.5kg (Sold by Parkers Foodservice) (2 Packs, 2500.0, gram)",One Day,,100.0%,65.5%,82.4%,87.0%,95.8%,94.7%,87.0%,86.7%,89.6%,93.5%,89.8%,90.5%,100.0%,87.2%,-12.8%,619,4676,57,96,951,10,9,"BB 91%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DSG1W7W6,POT04 - 001 Prime,Mousline - Mash Potato Mix - 4kg,One Day,100.0%,94.7%,93.1%,96.8%,100.0%,96.4%,95.0%,95.7%,100.0%,96.4%,76.9%,94.6%,96.9%,97.4%,94.5%,-2.9%,433,4459,96,73,830,12,2,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0BDMG238X,LIO02 - 001 Prime,Lion French Mustard 2.27 Litres,One Day,95.7%,97.5%,97.2%,92.7%,96.7%,95.6%,95.8%,99.1%,91.7%,96.3%,96.6%,100.0%,98.0%,96.6%,96.2%,-0.5%,"1,953",4458,318,218,517,13,4,"BB 98%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DZDVXYD1,Bundle - 216 Prime,"Crusha Bundle - Banana, Chocolate & Strawberry - 3 x 500ml",One Day,,,88.0%,90.9%,97.1%,95.2%,94.9%,96.8%,96.2%,95.5%,98.6%,91.0%,92.9%,,94.4%,,"2,141",4384,367,185,263,11,13,"BB 93%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DVJ3JCMP,CAL04 - 021 Prime,Callebaut - W2 White - 28% Callets - 2.5kg (Sold by Parkers Foodservice) (2 Packs),One Day,,100.0%,80.0%,72.7%,100.0%,88.9%,100.0%,90.0%,90.0%,100.0%,92.0%,93.6%,86.8%,100.0%,90.7%,-9.3%,194,4340,57,48,2399,10,6,"BB 87%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DK7NKW5D,UHT31B - 007 Prime,Cooks Professional Jersey Luxury Ice Cream Mix | Soft Serve Creamy Taste Icecream Mixture for Home or Commercial use | Superior Creamy Vanilla Taste | 6 x 1L,One Day,,,,,,,,75.4%,16.9%,69.7%,87.8%,83.1%,85.1%,,66.6%,,"1,366",4020,133,245,688,6,36,"BB 85%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B00BKXR158,BAK13 - 001 Prime,Callebaut Hazelnut Praline Paste 1 kg,One Day,,90.7%,82.1%,93.2%,96.4%,70.0%,93.3%,88.2%,82.4%,,86.2%,91.7%,91.7%,90.7%,87.1%,-3.6%,709,3832,152,120,639,11,9,"BB 92%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DZ2WNQ64,CAL03 - 011 Prime,"Callebaut - 823-33.6% Milk Chocolate Callets - 2.5kg - (Sold by Parkers Foodservice) (Pack of 2, 2500, gram)",One Day,,,100.0%,83.3%,100.0%,100.0%,95.7%,84.8%,77.1%,92.8%,86.8%,90.9%,93.9%,,91.1%,,535,3767,46,85,743,9,5,"BB 94%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0968DH592,TOO09 - 001 Prime,"Alexander Home The Original European Mill (Brass, 8-Inch Salt)",One Day,80.5%,70.3%,78.1%,80.9%,91.3%,87.4%,88.3%,53.5%,90.2%,79.3%,90.0%,94.7%,94.8%,75.4%,83.4%,8.0%,"13,803",3733,59,601,256,12,31,"BB 95%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0963JYKH7,TOO08 - 001 Prime,"Alexander Home The Original European Mill (Brass, 8-Inch Pepper)",One Day,77.4%,83.7%,65.3%,81.8%,75.6%,83.2%,71.1%,12.0%,27.8%,73.9%,90.4%,96.3%,95.9%,80.5%,67.7%,-12.8%,"7,934",3657,54,655,524,12,26,"BB 96%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0CRL2H2RB,FLORA004 - 001,Flora Plant Based Double Cream Alternative 1ltr,One Day,90.9%,91.1%,82.9%,96.6%,95.5%,95.6%,99.3%,99.4%,95.5%,95.6%,97.7%,96.4%,96.8%,91.0%,95.4%,4.4%,"3,094",3437,233,550,649,13,17,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B08JN8WCLF,MED07D - 004 Prime,The Bay Tree Marinated Mini Figs 600g,One Day,,,,,,,,2.7%,19.8%,93.7%,91.7%,96.1%,96.6%,,60.8%,,926,3429,204,179,758,5,6,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B09Y8BY6XR,PRE07 - 001 One Day,Chefs' Selections Mincemeat 3kg,One Day,,,,,,,,9.5%,37.9%,62.5%,81.0%,86.0%,80.8%,,55.4%,,"1,427",3414,169,148,251,5,28,"BB 81%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DZ31V15R,CAL03 - 012 Prime,"Callebaut - 823-33.6% Milk Chocolate Callets - 2.5kg - (Sold by Parkers Foodservice) (Pack of 4, 2500, gram)",One Day,,,100.0%,100.0%,100.0%,100.0%,83.3%,92.0%,72.7%,92.6%,88.5%,95.0%,91.8%,,92.4%,,273,3408,22,51,577,7,4,"BB 92%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0FL3BL1C5,CAL04D - 003,"Callebaut Velvet-Style White Chocolate Callets 34.6% – 2.5 kg Bag – Silky Creamy Belgian Chocolate for Moulding, Enrobing & Baking",One Day,,,,,,,,95.2%,98.5%,97.8%,91.8%,85.6%,91.1%,,93.8%,,426,3353,71,143,1135,6,12,"BB 91%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0FPGK976K,DEC23 - 006 Prime,"Callebaut Dark Chocolate Croissant Sticks 8 cm, 1.6 kg – Premium Belgian Baking Chocolate for Pastries & Desserts - Sold by Parkers Foodservice",One Day,,,,,,,,90.7%,99.2%,97.6%,97.6%,96.5%,96.7%,,96.3%,,"1,062",3235,109,347,994,6,11,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B00DI7Y2W4,CAP02C - 001 one day,LEFKTRO LILLIPUT Capers 1kg Drained Weight,One Day,100.0%,95.6%,91.7%,100.0%,100.0%,100.0%,94.1%,100.0%,93.2%,98.0%,91.3%,88.2%,94.9%,97.8%,95.7%,-2.1%,396,2658,123,29,242,13,1,"BB 95%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DSJT2LDG,CAL04 - 018 Prime,White W2 Callets 2.5kg,One Day,100.0%,100.0%,94.4%,95.2%,94.3%,94.7%,100.0%,89.5%,97.7%,95.7%,96.7%,98.5%,98.6%,100.0%,95.7%,-4.3%,398,2007,44,67,516,8,0,"BB 99%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B09T3DCXPZ,CAL01 - 001,Finest Belgian Chocolate 70% Extra Bitter Callets 2.5kg,One Day,100.0%,72.7%,94.4%,100.0%,91.7%,0.0%,0.0%,61.9%,86.2%,98.6%,93.1%,91.7%,78.0%,86.4%,71.8%,-14.6%,373,1983,43,95,213,10,20,"BB 78%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0D6RL8CN6,MAR12 - 001 Prime,BAKO - Cake Margarine - 12.5kg,One Day,97.5%,88.9%,90.4%,96.2%,94.3%,98.3%,95.7%,94.1%,100.0%,95.7%,97.4%,92.5%,89.3%,93.2%,95.5%,2.3%,504,1957,51,52,247,13,5,"BB 89%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DK7LXJJ3,UHT31B - 008 Prime,Cooks Professional Jersey Luxury Ice Cream Mix | Soft Serve Creamy Taste Icecream Mixture for Home or Commercial use | Superior Creamy Vanilla Taste | 3 x 1L,One Day,,,,,,,,59.0%,59.1%,78.2%,85.5%,84.0%,86.4%,,73.1%,,963,1902,106,172,455,6,23,"BB 86%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0DK7LH2JK,UHT31B - 006 Prime,Cooks Professional Jersey Luxury Ice Cream Mix | Soft Serve Creamy Taste Icecream Mixture for Home or Commercial use | Superior Creamy Vanilla Taste | 12 x 1L,One Day,,,,,,,,78.6%,25.3%,82.3%,85.1%,80.7%,79.0%,,70.4%,,528,1861,27,119,331,5,24,"BB 79%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0G7JXKWS5,CALCHO001 - 001 One Day,"Callebaut Velvet Rouge Ultime Cocoa Powder 1 kg – Premium Alkalised Red Cocoa for Baking, Desserts & Drinks",One Day,,,,,,,,,,,100.0%,97.7%,91.7%,,98.9%,,775,1548,73,423,766,3,35,"BB 92%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B07MPXVJWT,CHO90 - 001 Prime,Callebaut Chocolate Chunks,One Day,84.2%,50.0%,58.9%,89.2%,0.0%,28.1%,85.2%,96.8%,81.3%,80.0%,,87.8%,87.9%,67.1%,67.5%,0.4%,560,1403,29,115,349,9,13,"BB 88%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0CP2MBZ9R,DES05 - 005 Prime,Parkers Chocolate DARK Mousse Mix 800gm,One Day,100.0%,100.0%,100.0%,100.0%,100.0%,94.1%,100.0%,100.0%,100.0%,88.9%,94.1%,89.5%,92.9%,100.0%,96.7%,-3.3%,193,1388,36,22,245,12,1,"BB 93%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0FY3LZR2M,CALSHA001 - 001 One Day,Callebaut Dark Chocolate Spring Shavings 2.5 kg – Premium Belgian Dark Chocolate Decorations,One Day,,,,,,,,,50.0%,100.0%,100.0%,96.3%,96.9%,,86.6%,,97,1032,19,39,330,4,1,"BB 97%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0FY3FWKD9,CALCRI002 - 001 One Day,"Callebaut Milk Chocolate Crispearls 800 g – Crunchy Chocolate Coated Crisp Pearls for Baking, Desserts & Decorations - Sold by Parkers Foodservice",One Day,,,,,,,,,75.0%,99.3%,97.3%,100.0%,92.6%,,92.9%,,420,824,38,144,307,5,10,"BB 93%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0D76RTJ81,WATER003 - 004 One Day,ICE VALLEY Spring Water Still 500ml - Case of 24,One Day,,,,,,,,,96.9%,97.9%,85.0%,98.5%,99.0%,,94.6%,,293,748,38,84,209,5,0,"BB 99%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0D2RP8PYF,Bundle - 094 Prime,"WHITE, MILK and DARK Chocolate Chunks - 3 x 2.5kg Compatible with Callebaut",One Day,100.0%,100.0%,100.0%,71.4%,92.3%,100.0%,88.9%,100.0%,100.0%,,,100.0%,91.3%,100.0%,94.1%,-5.9%,91,703,6,24,338,3,2,"BB 91%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0CVNK842C,Bundle - 035 Prime,"Callebaut Bundle 2 x W2,823,811 (6 x 400g)",One Day,100.0%,87.5%,86.8%,100.0%,96.7%,100.0%,95.7%,40.0%,44.7%,45.5%,24.5%,91.8%,92.9%,93.8%,72.6%,-21.2%,553,531,11,236,209,6,16,"BB 93%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0FY3JTC1X,CALSHA002 - 001 One Day,Callebaut Belgian Milk Chocolate Spring Shavings 2.5 kg – Premium Milk Chocolate Decorations for Cakes & Pastries,One Day,,,,,,,,,,100.0%,100.0%,96.8%,97.5%,,98.9%,,92,410,10,36,204,3,0,"BB 98%, converting well. Protect pricing position.",,,
🟢 PROTECT - Strong Performer,B0F7RG9SR5,OSPRIO018 - 001,"Osprio Gluten Free Panko Breadcrumbs – 15kg Sack | Ideal for Frying, Baking, and Breading | Light, Crispy, and Gluten-Free | Bulk Pack for Professional Use",One Day,,,,,,100.0%,,100.0%,87.5%,100.0%,85.7%,100.0%,97.2%,,95.5%,,65,393,6,28,281,2,0,"BB 97%, converting well. Protect pricing position.",,,
🟢 STABLE,B0DVJ17T8C,CAL01 - 010 One Day,Callebaut - Dark - 70.5% Callets - 2.5kg - (Sold by Parkers Foodservice) 70-30-38 (1 Pack),One Day,100.0%,92.4%,86.6%,92.5%,93.0%,73.4%,91.2%,92.3%,87.7%,92.7%,90.6%,78.4%,52.4%,96.2%,87.8%,-8.4%,"5,358",34037,705,144,689,13,68,"BB 52%, performing steadily.",,,
🟢 GROWING - Momentum,B00CCG83QI,CAL01 - 015,Callebaut 70-30-38 Finest Belgian Dark Chocolate Couverture Callets 70.5% Cocoa 2.5kg,One Day,5.5%,6.0%,33.4%,,,0.0%,0.0%,24.6%,18.9%,29.0%,33.3%,13.7%,7.1%,5.7%,19.1%,13.4%,"19,843",19784,432,"3,362",1070,9,"3,122",BB improved +13% since change. Revenue trending up.,,,
🟢 GROWING - Momentum,B079H32ZJ8,CAL03P,"Saver Bundle Callebaut, Milk Chocolate Chips (2 x 2.5kg Bundle)",One Day,60.3%,23.5%,88.9%,89.9%,73.1%,72.7%,79.2%,84.5%,84.9%,88.4%,86.0%,60.0%,46.0%,41.9%,80.8%,38.9%,787,14396,154,79,678,13,42,BB improved +39% since change. Revenue trending up.,,,
🟢 STABLE,B07CYTX6MD,BUNDLE007 - 001,"Callebaut 4 x 400g Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",One Day,93.9%,39.5%,51.6%,,99.5%,37.8%,47.2%,55.9%,45.4%,37.4%,22.0%,68.0%,52.4%,66.7%,51.6%,-15.0%,"5,915",10110,269,781,1558,12,371,"BB 52%, performing steadily.",,,
🟢 STABLE,B0CM9YYM7J,NAPKIN101 - 001 Prime,Bulky Soft White 2ply Napkins 2000 x 33cm x 33cm / 4 fold (32980),One Day,60.7%,37.5%,22.7%,54.6%,65.1%,86.0%,79.3%,57.4%,67.9%,61.9%,63.0%,61.8%,54.7%,49.1%,62.0%,12.9%,519,9340,204,48,1836,13,21,"BB 55%, performing steadily.",,,
🟢 STABLE,B077BJ882X,MCD05E,McDougalls Fish Batter Mix - 4x3.5kg,One Day,74.1%,94.9%,81.3%,52.2%,84.6%,77.8%,74.1%,92.0%,90.9%,91.1%,74.6%,60.0%,47.6%,84.5%,77.9%,-6.7%,563,8578,156,39,265,13,20,"BB 48%, performing steadily.",,,
🟢 GROWING - Momentum,B07W5W7YCT,CAL100 - PRIME,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",One Day,15.8%,3.2%,17.2%,47.7%,43.8%,35.3%,57.9%,60.9%,21.5%,30.5%,11.8%,14.0%,5.7%,9.5%,34.1%,24.6%,"4,004",7932,261,354,164,13,333,BB improved +25% since change. Revenue trending up.,,,
🟢 STABLE,B073WRG21Q,BAK24 - 002,Callebaut Mycryo Pure Cocoa Butter Powder 600g,One Day,80.0%,53.7%,,84.4%,52.6%,94.9%,70.1%,85.2%,87.1%,76.0%,71.6%,66.9%,69.1%,66.9%,76.5%,9.7%,963,7372,203,160,898,12,49,"BB 69%, performing steadily.",,,
🟢 STABLE,B019N2OITO,WRA01 - 001,"We Can Source It Ltd - Wrapmaster 3000 Cling Film – 30cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",One Day,32.5%,28.2%,42.3%,27.5%,2.2%,13.3%,14.1%,11.4%,6.1%,10.2%,48.5%,12.8%,10.2%,30.3%,18.8%,-11.5%,"3,449",6467,223,422,181,13,378,"BB 10%, performing steadily.",,,
🟢 GROWING - Momentum,B008SAUDEM,BAR04A - 001,"Yutaka Wasabi Peas 2kg | Authentic Japanese Snack | Spicy & Crunchy | Perfect for Parties or as a Beer Snack | Vegan, Gluten-Free & High in Fibre",One Day,4.2%,0.9%,2.1%,1.5%,6.8%,5.6%,19.4%,5.3%,48.2%,22.2%,28.3%,21.1%,22.6%,2.6%,16.0%,13.5%,"6,042",6056,293,733,1167,12,567,BB improved +13% since change. Revenue trending up.,,,
